questLineKey	chapter	step	visibleChoiceCount	branchKey	choiceKey	label	nextEntryKeys	failureEntryKeys	convergesIntoEntryKeys	owningEntryKey	shownAtEntryKey	suspectedClassification	reason
FactionQuest_KinOfSheredyn	1	2	5	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter01_Step01ChoiceDefinition	Pryzja, a Kin youth, is missing.				FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	true player choice	initial Step 2 branch; continuation appears as sibling branch for Step 2, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	1	2	5	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter01_Step02ChoiceDefinition	Eliminate the Necrophage threat.				FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	true player choice	initial Step 2 branch; continuation appears as sibling branch for Step 3, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	1	2	5	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:3	FactionQuest_KinOfSheredyn_Chapter01_Step03ChoiceDefinition	The Kin’s industrial and economic base must be bolstered.	FactionQuest_KinOfSheredyn_Chapter02_Step01			FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 3, but frontend shows it at Step 2; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	1	2	5	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:4	FactionQuest_KinOfSheredyn_Chapter00_Step00ChoiceDefinition	Pryzja, a Kin youth, is missing.				FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	unresolved/dead-end artifact	no next/failure/convergence target; not enough metadata to determine whether terminal, unresolved, or continuation-owned; duplicate display label in this visible step
FactionQuest_KinOfSheredyn	1	3	4	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter01_Step01ChoiceDefinition	Pryzja, a Kin youth, is missing.				FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	true player choice	initial Step 3 branch; continuation appears as sibling branch for Step 2, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	1	3	4	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter01_Step02ChoiceDefinition	Eliminate the Necrophage threat.				FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	true player choice	initial Step 3 branch; continuation appears as sibling branch for Step 3, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	1	3	4	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:3	FactionQuest_KinOfSheredyn_Chapter01_Step03ChoiceDefinition	The Kin’s industrial and economic base must be bolstered.	FactionQuest_KinOfSheredyn_Chapter02_Step01			FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	true player choice	entry-owned branch with modeled continuation target
FactionQuest_KinOfSheredyn	1	3	4	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:4	FactionQuest_KinOfSheredyn_Chapter00_Step00ChoiceDefinition	Pryzja, a Kin youth, is missing.				FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	unresolved/dead-end artifact	no next/failure/convergence target; not enough metadata to determine whether terminal, unresolved, or continuation-owned; duplicate display label in this visible step
FactionQuest_KinOfSheredyn	2	1	3			The Missing Youth	FactionQuest_KinOfSheredyn02_Chapter03_Step01			FactionQuest_KinOfSheredyn02_Chapter02_Step01	FactionQuest_KinOfSheredyn_Chapter02_Step01	projection/variant of current step	projected entry variant at backend progression step; numeric/raw questline FactionQuest_KinOfSheredyn02 collapsed into FactionQuest_KinOfSheredyn
FactionQuest_KinOfSheredyn	2	1	3	FactionQuest_KinOfSheredyn_Chapter02_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter02_Step01_Choice01ChoiceDefinition	Search	FactionQuest_KinOfSheredyn_Chapter03_Step01		FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter02_Step01	FactionQuest_KinOfSheredyn_Chapter02_Step01	true player choice	entry-owned branch with modeled continuation target
FactionQuest_KinOfSheredyn	2	1	3	FactionQuest_KinOfSheredyn_Chapter02_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter02_Step01_Choice02ChoiceDefinition	Build	FactionQuest_KinOfSheredyn_Chapter03_Step01		FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter02_Step01	FactionQuest_KinOfSheredyn_Chapter02_Step01	true player choice	entry-owned branch with modeled continuation target
FactionQuest_KinOfSheredyn	2	2	3	FactionQuest_KinOfSheredyn02_Chapter02_Step01:branch:1	FactionQuest_KinOfSheredyn02_Chapter02_Step01ChoiceDefinition	The Missing Youth				FactionQuest_KinOfSheredyn02_Chapter02_Step01	FactionQuest_KinOfSheredyn02_Chapter02_Step01	true player choice	initial Step 2 branch; continuation appears as sibling branch for Step 2, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	2	2	3	FactionQuest_KinOfSheredyn02_Chapter02_Step01:branch:2	FactionQuest_KinOfSheredyn02_Chapter02_Step02ChoiceDefinition	The Missing Youth				FactionQuest_KinOfSheredyn02_Chapter02_Step01	FactionQuest_KinOfSheredyn02_Chapter02_Step01	true player choice	initial Step 2 branch; continuation appears as sibling branch for Step 3, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	2	2	3	FactionQuest_KinOfSheredyn02_Chapter02_Step01:branch:3	FactionQuest_KinOfSheredyn02_Chapter02_Step03ChoiceDefinition	The Missing Youth	FactionQuest_KinOfSheredyn02_Chapter03_Step01			FactionQuest_KinOfSheredyn02_Chapter02_Step01	FactionQuest_KinOfSheredyn02_Chapter02_Step01	branch continuation; duplicate branch; likely wrong-path leakage	choiceKey belongs to Step 3, but frontend shows it at Step 2; current DTO has no parentBranchKey/prerequisite path to gate it; duplicate display label in this visible step
FactionQuest_KinOfSheredyn	2	3	3	FactionQuest_KinOfSheredyn02_Chapter02_Step01:branch:1	FactionQuest_KinOfSheredyn02_Chapter02_Step01ChoiceDefinition	The Missing Youth				FactionQuest_KinOfSheredyn02_Chapter02_Step01	FactionQuest_KinOfSheredyn02_Chapter02_Step01	true player choice	initial Step 3 branch; continuation appears as sibling branch for Step 2, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	2	3	3	FactionQuest_KinOfSheredyn02_Chapter02_Step01:branch:2	FactionQuest_KinOfSheredyn02_Chapter02_Step02ChoiceDefinition	The Missing Youth				FactionQuest_KinOfSheredyn02_Chapter02_Step01	FactionQuest_KinOfSheredyn02_Chapter02_Step01	true player choice	initial Step 3 branch; continuation appears as sibling branch for Step 3, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	2	3	3	FactionQuest_KinOfSheredyn02_Chapter02_Step01:branch:3	FactionQuest_KinOfSheredyn02_Chapter02_Step03ChoiceDefinition	The Missing Youth	FactionQuest_KinOfSheredyn02_Chapter03_Step01			FactionQuest_KinOfSheredyn02_Chapter02_Step01	FactionQuest_KinOfSheredyn02_Chapter02_Step01	duplicate branch	same label appears 3 times at this visible step with distinct branch keys
FactionQuest_KinOfSheredyn	3	1	6			What Lies Beneath	FactionQuest_KinOfSheredyn02_Chapter04_Step01			FactionQuest_KinOfSheredyn02_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	projection/variant of current step	projected entry variant at backend progression step; numeric/raw questline FactionQuest_KinOfSheredyn02 collapsed into FactionQuest_KinOfSheredyn
FactionQuest_KinOfSheredyn	3	1	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter03_Step01ChoiceDefinition	Rzeld’s offered to be a guide to the site. Pay him.				FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	unresolved/dead-end artifact	no next/failure/convergence target; not enough metadata to determine whether terminal, unresolved, or continuation-owned
FactionQuest_KinOfSheredyn	3	1	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter03_Step02_Choice01ChoiceDefinition	Quiet				FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 2, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	3	1	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:3	FactionQuest_KinOfSheredyn_Chapter03_Step03_Choice01ChoiceDefinition	Discover who among the Kin has been using the mine—and why.	FactionQuest_KinOfSheredyn_Chapter04_Step01			FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 3, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	3	1	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:4	FactionQuest_KinOfSheredyn_Chapter03_Step02_Choice02ChoiceDefinition	Noisy				FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 2, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	3	1	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:5	FactionQuest_KinOfSheredyn_Chapter03_Step03_Choice02ChoiceDefinition	Rescue Pryzja from the abandoned mine.	FactionQuest_KinOfSheredyn_Chapter04_Step01			FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 3, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	3	2	6			What Lies Beneath	FactionQuest_KinOfSheredyn02_Chapter04_Step01			FactionQuest_KinOfSheredyn02_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	projection/variant of current step	projected entry variant at backend progression step; numeric/raw questline FactionQuest_KinOfSheredyn02 collapsed into FactionQuest_KinOfSheredyn
FactionQuest_KinOfSheredyn	3	2	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter03_Step01ChoiceDefinition	Rzeld’s offered to be a guide to the site. Pay him.				FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	unresolved/dead-end artifact	no next/failure/convergence target; not enough metadata to determine whether terminal, unresolved, or continuation-owned
FactionQuest_KinOfSheredyn	3	2	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter03_Step02_Choice01ChoiceDefinition	Quiet				FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	true player choice	initial Step 2 branch; continuation appears as sibling branch for Step 3, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	3	2	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:3	FactionQuest_KinOfSheredyn_Chapter03_Step03_Choice01ChoiceDefinition	Discover who among the Kin has been using the mine—and why.	FactionQuest_KinOfSheredyn_Chapter04_Step01			FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 3, but frontend shows it at Step 2; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	3	2	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:4	FactionQuest_KinOfSheredyn_Chapter03_Step02_Choice02ChoiceDefinition	Noisy				FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	true player choice	initial Step 2 branch; continuation appears as sibling branch for Step 3, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	3	2	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:5	FactionQuest_KinOfSheredyn_Chapter03_Step03_Choice02ChoiceDefinition	Rescue Pryzja from the abandoned mine.	FactionQuest_KinOfSheredyn_Chapter04_Step01			FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 3, but frontend shows it at Step 2; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	3	3	6			What Lies Beneath	FactionQuest_KinOfSheredyn02_Chapter04_Step01			FactionQuest_KinOfSheredyn02_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	projection/variant of current step	projected entry variant at backend progression step; numeric/raw questline FactionQuest_KinOfSheredyn02 collapsed into FactionQuest_KinOfSheredyn
FactionQuest_KinOfSheredyn	3	3	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter03_Step01ChoiceDefinition	Rzeld’s offered to be a guide to the site. Pay him.				FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	unresolved/dead-end artifact	no next/failure/convergence target; not enough metadata to determine whether terminal, unresolved, or continuation-owned
FactionQuest_KinOfSheredyn	3	3	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter03_Step02_Choice01ChoiceDefinition	Quiet				FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	true player choice	initial Step 3 branch; continuation appears as sibling branch for Step 3, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	3	3	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:3	FactionQuest_KinOfSheredyn_Chapter03_Step03_Choice01ChoiceDefinition	Discover who among the Kin has been using the mine—and why.	FactionQuest_KinOfSheredyn_Chapter04_Step01			FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	true player choice	entry-owned branch with modeled continuation target
FactionQuest_KinOfSheredyn	3	3	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:4	FactionQuest_KinOfSheredyn_Chapter03_Step02_Choice02ChoiceDefinition	Noisy				FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	true player choice	initial Step 3 branch; continuation appears as sibling branch for Step 3, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	3	3	6	FactionQuest_KinOfSheredyn_Chapter03_Step01:branch:5	FactionQuest_KinOfSheredyn_Chapter03_Step03_Choice02ChoiceDefinition	Rescue Pryzja from the abandoned mine.	FactionQuest_KinOfSheredyn_Chapter04_Step01			FactionQuest_KinOfSheredyn_Chapter03_Step01	FactionQuest_KinOfSheredyn_Chapter03_Step01	true player choice	entry-owned branch with modeled continuation target
FactionQuest_KinOfSheredyn	4	1	5			The Hunt	FactionQuest_KinOfSheredyn02_Chapter05_Step01			FactionQuest_KinOfSheredyn02_Chapter04_Step01	FactionQuest_KinOfSheredyn_Chapter04_Step01	projection/variant of current step	projected entry variant at backend progression step; numeric/raw questline FactionQuest_KinOfSheredyn02 collapsed into FactionQuest_KinOfSheredyn
FactionQuest_KinOfSheredyn	4	1	5	FactionQuest_KinOfSheredyn_Chapter04_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter04_Step01_Choice01ChoiceDefinition	Track				FactionQuest_KinOfSheredyn_Chapter04_Step01	FactionQuest_KinOfSheredyn_Chapter04_Step01	true player choice	initial Step 1 branch; continuation appears as sibling branch for Step 2, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	4	1	5	FactionQuest_KinOfSheredyn_Chapter04_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter04_Step02_Choice01ChoiceDefinition	Capture the rogue Lieutenant.	FactionQuest_KinOfSheredyn_Chapter05_Step01			FactionQuest_KinOfSheredyn_Chapter04_Step01	FactionQuest_KinOfSheredyn_Chapter04_Step01	branch continuation; duplicate branch; likely wrong-path leakage	choiceKey belongs to Step 2, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it; duplicate display label in this visible step
FactionQuest_KinOfSheredyn	4	1	5	FactionQuest_KinOfSheredyn_Chapter04_Step01:branch:3	FactionQuest_KinOfSheredyn_Chapter04_Step01_Choice02ChoiceDefinition	Lure				FactionQuest_KinOfSheredyn_Chapter04_Step01	FactionQuest_KinOfSheredyn_Chapter04_Step01	true player choice	initial Step 1 branch; continuation appears as sibling branch for Step 2, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	4	1	5	FactionQuest_KinOfSheredyn_Chapter04_Step01:branch:4	FactionQuest_KinOfSheredyn_Chapter04_Step02_Choice02ChoiceDefinition	Capture the rogue Lieutenant.	FactionQuest_KinOfSheredyn_Chapter05_Step01			FactionQuest_KinOfSheredyn_Chapter04_Step01	FactionQuest_KinOfSheredyn_Chapter04_Step01	branch continuation; duplicate branch; likely wrong-path leakage	choiceKey belongs to Step 2, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it; duplicate display label in this visible step
FactionQuest_KinOfSheredyn	4	2	5			The Hunt	FactionQuest_KinOfSheredyn02_Chapter05_Step01			FactionQuest_KinOfSheredyn02_Chapter04_Step01	FactionQuest_KinOfSheredyn_Chapter04_Step01	projection/variant of current step	projected entry variant at backend progression step; numeric/raw questline FactionQuest_KinOfSheredyn02 collapsed into FactionQuest_KinOfSheredyn
FactionQuest_KinOfSheredyn	4	2	5	FactionQuest_KinOfSheredyn_Chapter04_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter04_Step01_Choice01ChoiceDefinition	Track				FactionQuest_KinOfSheredyn_Chapter04_Step01	FactionQuest_KinOfSheredyn_Chapter04_Step01	true player choice	initial Step 2 branch; continuation appears as sibling branch for Step 2, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	4	2	5	FactionQuest_KinOfSheredyn_Chapter04_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter04_Step02_Choice01ChoiceDefinition	Capture the rogue Lieutenant.	FactionQuest_KinOfSheredyn_Chapter05_Step01			FactionQuest_KinOfSheredyn_Chapter04_Step01	FactionQuest_KinOfSheredyn_Chapter04_Step01	duplicate branch	same label appears 2 times at this visible step with distinct branch keys
FactionQuest_KinOfSheredyn	4	2	5	FactionQuest_KinOfSheredyn_Chapter04_Step01:branch:3	FactionQuest_KinOfSheredyn_Chapter04_Step01_Choice02ChoiceDefinition	Lure				FactionQuest_KinOfSheredyn_Chapter04_Step01	FactionQuest_KinOfSheredyn_Chapter04_Step01	true player choice	initial Step 2 branch; continuation appears as sibling branch for Step 2, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	4	2	5	FactionQuest_KinOfSheredyn_Chapter04_Step01:branch:4	FactionQuest_KinOfSheredyn_Chapter04_Step02_Choice02ChoiceDefinition	Capture the rogue Lieutenant.	FactionQuest_KinOfSheredyn_Chapter05_Step01			FactionQuest_KinOfSheredyn_Chapter04_Step01	FactionQuest_KinOfSheredyn_Chapter04_Step01	duplicate branch	same label appears 2 times at this visible step with distinct branch keys
FactionQuest_KinOfSheredyn	5	1	4			The Kin’s Fate	FactionQuest_KinOfSheredyn02_Chapter06A_Step01,FactionQuest_KinOfSheredyn02_Chapter06B_Step01			FactionQuest_KinOfSheredyn02_Chapter05_Step01	FactionQuest_KinOfSheredyn_Chapter05_Step01	projection/variant of current step	projected entry variant at backend progression step; numeric/raw questline FactionQuest_KinOfSheredyn02 collapsed into FactionQuest_KinOfSheredyn
FactionQuest_KinOfSheredyn	5	1	4	FactionQuest_KinOfSheredyn_Chapter05_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter05_Step01ChoiceDefinition	Strengthen the Kin for the coming storm.				FactionQuest_KinOfSheredyn_Chapter05_Step01	FactionQuest_KinOfSheredyn_Chapter05_Step01	unresolved/dead-end artifact	no next/failure/convergence target; not enough metadata to determine whether terminal, unresolved, or continuation-owned
FactionQuest_KinOfSheredyn	5	1	4	FactionQuest_KinOfSheredyn_Chapter05_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter05_Step02_Choice01ChoiceDefinition	Punish	FactionQuest_KinOfSheredyn_Chapter06A_Step01			FactionQuest_KinOfSheredyn_Chapter05_Step01	FactionQuest_KinOfSheredyn_Chapter05_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 2, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	5	1	4	FactionQuest_KinOfSheredyn_Chapter05_Step01:branch:3	FactionQuest_KinOfSheredyn_Chapter05_Step02_Choice02ChoiceDefinition	Forgive	FactionQuest_KinOfSheredyn_Chapter06B_Step01			FactionQuest_KinOfSheredyn_Chapter05_Step01	FactionQuest_KinOfSheredyn_Chapter05_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 2, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	5	2	4			The Kin’s Fate	FactionQuest_KinOfSheredyn02_Chapter06A_Step01,FactionQuest_KinOfSheredyn02_Chapter06B_Step01			FactionQuest_KinOfSheredyn02_Chapter05_Step01	FactionQuest_KinOfSheredyn_Chapter05_Step01	projection/variant of current step	projected entry variant at backend progression step; numeric/raw questline FactionQuest_KinOfSheredyn02 collapsed into FactionQuest_KinOfSheredyn
FactionQuest_KinOfSheredyn	5	2	4	FactionQuest_KinOfSheredyn_Chapter05_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter05_Step01ChoiceDefinition	Strengthen the Kin for the coming storm.				FactionQuest_KinOfSheredyn_Chapter05_Step01	FactionQuest_KinOfSheredyn_Chapter05_Step01	unresolved/dead-end artifact	no next/failure/convergence target; not enough metadata to determine whether terminal, unresolved, or continuation-owned
FactionQuest_KinOfSheredyn	5	2	4	FactionQuest_KinOfSheredyn_Chapter05_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter05_Step02_Choice01ChoiceDefinition	Punish	FactionQuest_KinOfSheredyn_Chapter06A_Step01			FactionQuest_KinOfSheredyn_Chapter05_Step01	FactionQuest_KinOfSheredyn_Chapter05_Step01	true player choice	entry-owned branch with modeled continuation target
